,filename,category,area,volume,aabb_volume,compactness,diameter,eccentricity
0,108.off,Chair,0.48942576579923813,0.6122844463925744,0.47093441004004316,0.2923482584833635,0.20861592579904098,0.6704960939121258
1,134.off,Octopus,0.5467634224430625,0.6011779740154064,0.21373534862757254,0.5117702873198468,0.6323131919337094,0.6915662775511001
2,35.off,Cup,0.16840092294561254,0.44620199546853834,0.4304035248530438,0.4456999181831317,0.5812304217581545,0.6756222046100056
3,336.off,Mech,0.4013250460285506,0.2756545377676816,0.5778807075658021,0.7098551271260081,0.9647020496089554,0.6998316314813189
4,242.off,Bird,0.5802622293200406,0.6005621501870737,0.41277680372606523,0.5714837794563878,0.506396662290211,0.6561208547206845
5,281.off,Armadillo,0.5548736517214579,0.5732974161859707,0.5056658710574351,0.610882631677684,0.8149486611514594,0.6697910358286032
6,20.off,Human,0.6656209420198902,0.6433730564583962,0.7196022506886254,0.5292268789509857,0.265287950993199,-0.026672490492566592
7,309.off,Bust,0.2753476036897099,0.18047974151388102,0.3298332221400704,0.6997413822227792,1.0025118130147148,0.6912364114921998
8,240.off,Fish,0.6516137681654218,0.5916977440531125,0.6414925879259739,0.6729929563811103,0.5632282391895128,0.5305746571756991
9,95.off,Ant,0.6263003257238253,0.6156131480903988,0.6008049367632824,0.591006743185982,0.38335981992349066,0.45088916682447633
10,157.off,Table,0.055365513705735,0.4492377450920091,-0.07639793264043893,0.27785231074560524,0.16068983564785339,0.6094384374453191
11,56.off,Glasses,0.7466895141296122,0.6863160592419074,0.6982350844363245,-0.1630334574600948,1.1942762997353247,0.522217252030937
12,194.off,Hand,0.57772913499966,0.6105462930228908,0.6310473705294634,0.526846515851945,0.600416908963045,0.5773929504499056
13,180.off,Teddy,0.4879136517468239,0.45178958568211,0.5074250539072713,0.6860237568388914,0.3272399458718235,0.5755603693816135
14,369.off,Vase,0.2432831111525952,0.04755494864284898,0.16564561577272807,0.7117983717327351,0.372048631759361,0.6788681247559852
15,355.off,Bearing,0.7248291477093125,0.6345254219864219,0.8845853528617271,0.6718254944820703,0.11552951725046023,0.20108214977979838
16,396.off,FourLeg,0.5856572388761965,0.582094474290568,0.6300879724492114,0.62658096279346,0.4547639867703435,0.5150465700658936
17,209.off,Plier,0.7212906497604632,0.6598649933696895,0.8017229997483681,0.5480387576218742,0.33301486625009113,-0.13224729764824616
18,80.off,Airplane,0.6133100059576329,0.6366412284752645,0.46861937462431824,0.4392705145070087,0.28194898678334557,0.4127606108999001
19,229.off,Fish,0.6765907095236338,0.5951441926722661,0.6977640712720088,0.6879247288713521,0.34240771480671717,0.5432270007573929
20,349.off,Bearing,0.7431915468855612,0.6414704555937719,0.8829822287015953,0.6776759836725168,0.6214266985921927,0.46850935684608974
21,188.off,Hand,0.5154961566111553,0.5771080428276045,0.4054008503719185,0.551051060679742,0.49369509035679704,0.65354863935271
22,49.off,Glasses,0.8265770611689238,0.6930682481448388,0.8012586320294299,0.3336425474135477,0.8008321623205426,0.24683593990856484
23,148.off,Table,0.005679503701188915,0.4692638226592347,0.1298873732116937,0.09337429592553798,0.1358669427796831,0.5552966735840366
24,400.off,FourLeg,0.6364431542654134,0.6124455286087234,0.6191425829867916,0.6161078471117991,0.4078762679936676,0.49701534683760973
25,99.off,Ant,0.6535103019325289,0.643990164125351,0.43274318254801303,0.4914136172668728,0.5255427675549199,0.5860763362460748
26,167.off,Teddy,0.4225578671116353,0.3969766351182104,0.36211192527062075,0.6843203321150282,0.4675184868998866,0.6603838951559939
27,66.off,Airplane,0.6642589567275936,0.6588958850459408,0.7195459981209236,0.3413732507326695,0.7666744130160705,-0.05540689384304953
28,365.off,Vase,-0.0011794849249541217,-0.4276176685578986,-0.2281709770599888,0.7168645932213537,0.7392617160322178,0.6942088902522654
29,211.off,Plier,0.7381405571846211,0.6639142653153279,0.8224756398851689,0.5610113277455174,0.4845928147982087,-0.2942983522509839
30,29.off,Cup,-0.15270832656209876,0.4793740185727705,0.2902048716409668,-0.40585875605356814,0.4412951644896906,0.6914762721150066
31,128.off,Octopus,0.7221652268770381,0.6653867358273199,0.5392782954642096,0.48835600289644787,0.6021873095447322,0.6021095739558715
32,300.off,Armadillo,0.5156881948801414,0.5504410363751938,0.22946757911554394,0.6133986881179956,0.5112792891151741,0.6881565041871475
33,249.off,Bird,0.7531377396810307,0.6703817204803214,0.7185792328879607,0.5401957377748148,0.1881872102840041,0.338621905991564
34,329.off,Mech,-0.016736962356562524,-0.29709071122862774,0.342135462174712,0.7070937440875185,0.3705572310666963,0.701099625945274
35,13.off,Human,0.5874578655443398,0.579461561416737,0.6286501285520963,0.6334414355670092,0.19116817469919756,0.4199954707931802
36,104.off,Chair,0.6335295872132333,0.6642658450666378,0.6668653676616945,0.005383896121290033,0.33780926894152885,0.6635503199301291
37,306.off,Bust,0.3601986986407316,0.26420726199953276,0.3255770000877554,0.7030184766317785,0.8092975620139441,0.6700184839703682
