,True Label,Precision,Recall
0,Ant,0.3333333333333333,0.5
1,Mech,0.9411764705882353,0.8
2,Glasses,0.9411764705882353,0.8
3,Chair,0.9047619047619048,0.95
4,Octopus,0.5714285714285714,0.4
5,Bust,0.4838709677419355,0.75
6,Table,0.75,0.75
7,Teddy,0.5161290322580645,0.8
8,Airplane,0.5217391304347826,0.6
9,Bearing,0.6428571428571429,0.45
10,Vase,0.4444444444444444,0.2
11,Fish,0.5862068965517241,0.85
12,Cup,0.9444444444444444,0.85
13,Armadillo,0.5,0.45
14,Bird,0.47058823529411764,0.4
15,Human,0.35,0.35
16,Plier,0.7916666666666666,0.95
17,FourLeg,0.36363636363636365,0.2
18,Hand,0.375,0.3
19,OVERALL,0.6017084250015773,0.5973684210526315
